text,label
pussy s don t get pussy,1
lol new kid at school thinks he can take me at tetherball bout to show him why i get all the playground pussy baller,1
bitches don t knw what to let ride certain shit ain t work mentioning,1
my bitch bad she from the islands,1
i got my eyes on this red bone,2
you see these two pussies jason capuano nd jason cousins taking chit on the gram but ain t about that,1
all these hoes fuckin but they don t wanna seem like a hoe you gotta hit them ona d lo,1
now don t you hate them ol lyin ass hoes smilin in ya face wearin her best friends clothes,1
niggas with bitch tendencies,1
vagina flavored bacon bitch,1
ugly hoes you can not have attitudes kill the ratchetness you need to be nice cause your looks sure ain t getting you nowhere,1
kanye west is a faggot,0
yo if you get like over of flappy bird you need to do some self evaluation because you probably have no life,2
exactly so she s a bitch,1
you my niggah though daniel lol,1
when kanye said mayonnaise colored benz i push miracle whips,2
post a picture of that pussy get likes,1
one day more until turkey it will nip me in the belly we ll be ready for the stuffing we will wet ours,2
fuck the cowboys the giants the redskins eaglesnation bleedgreen,1
i really hate poly bitches you and me both man,1
fat bitches twitter names be princesscookieneckbackcrack lmaoo,1
i m getting sleepy and my phone is acting retarded,2
i swear niggas use to step one foot off the bus and bitches would be like nextttt,1
how long after the name change will al memorabilia w redskins name be deemed racist and therby illegal,2
i really think ppl defending cassidy throw on hotel at the crib when bitches are comin over,1
lol lebron bitch ass always making a spectacle look at me ass nigga,1
unemployed niggas get the most bitches factdontargue,1
on the field in our hearts what if star derek jeter starred in back to school yank,2
does it bother anyone else that the planet of the apes timeline makes no sense,2
my main bitch my side bitch mad at me i could give two fuckssss,1
when i step off in da club niggas give me daps and hugs hoes swinging dey eye ik one thing right they wanna fuck,1
you say i m a bitch i say i m a woman with a strong personality that doesn t play well with others,1
amen miley but she don t need to act like a hoe just bc she s emotionally damaged foh,1
im way out of your league hoe please excuse my ego,1
this bitch jus blew my high and i was off all of these drugssss,1
i eats the pussy,1
never give the next bitch an opportunity to prosper off of your name,1
no more chunky nugs for you he doesn t even hook it up like that,1
foreign bad bitch n she said her name trinaaa trap house look like it got hit by hurricane katrinaaaa,1
you can t be mad when people call you a hoe if you out here acting like one,1
makem eat my ass since eating pussy ain t major nomore,1
selling ex lax brownies in front of meijer to pregnant women gooddeed,2
even the young kardashians are hoes lol,1
ima make you my bitch,1
ronnie radke s a fucking fag fronz owns his ass,1
lmaooo naw nigga imma stay right in your mentions hoe,1
it s also a bird a city and a math theorem i make no assumptions,2
i m not mad cuh hahaha suure tuku ho ita,2
is there a looser college town than btown if yes id like to visit iu hoosiers,2
there s a bitch on twitter with k followers but she drive this,1
you owe me anyway hoe i need that with interest or shooting your shit up,1
cause it would their tip hand instead they whine like little bitches,1
theboondocks at my nicca,2
kim kardashian is making million from in app purchases from her game and you all call her dumb bitch she s a damn gen,1
i got problems but a bitch ain t one that goes for you bitch niggas too rns,1
my nigguh wtf,1
why do you bitch about everything,1
ugly bitches be like i m my own wcw duh bitch you ain t nobody elses,1
hahahaha when her pussy better than you expected it to be,1
don t worry about the bitches i use to fuck wit,1
